EXID,Preferred name,Degree,Group name,ID,Synonyms
REACT:R112411,mapk1 (erk2) activation,4,Pathway,REACT:R112411,mapk1 (erk2) activation
REACT:R5684996,mapk1/mapk3 signaling,18,Pathway,REACT:R5684996,mapk1/mapk3 signaling
REACT:R110056,mapk3 (erk1) activation,8,Pathway,REACT:R110056,mapk3 (erk1) activation
REACT:R5687128,mapk6/mapk4 signaling,12,Pathway,REACT:R5687128,mapk6/mapk4 signaling
REACT:R5683057,mapk family signaling cascades,20,Pathway,REACT:R5683057,mapk family signaling cascades
REACT:R450294,map kinase activation in tlr cascade,14,Pathway,REACT:R450294,map kinase activation in tlr cascade
KEGG:hsa04010,mapk signaling pathway,25,Pathway,KEGG:hsa04010,mapk signaling pathway
REACT:R450282,mapk targets/ nuclear events mediated by map kinases,13,Pathway,REACT:R450282,mapk targets/ nuclear events mediated by map kinases
KEGG:hsa04950,maturity onset diabetes of the young,6,Pathway,KEGG:hsa04950,maturity onset diabetes of the young
KEGG:hsa05162,measles,24,Pathway,KEGG:hsa05162,measles
KEGG:hsa04916,melanogenesis,15,Pathway,KEGG:hsa04916,melanogenesis
KEGG:hsa05218,melanoma,20,Pathway,KEGG:hsa05218,melanoma
REACT:R199991,membrane trafficking,13,Pathway,REACT:R199991,membrane trafficking
REACT:R5579029,metabolic disorders of biological oxidation enzymes,2,Pathway,REACT:R5579029,metabolic disorders of biological oxidation enzymes
KEGG:hsa01100,metabolic pathways,25,Pathway,KEGG:hsa01100,metabolic pathways
REACT:R1430728,metabolism,35,Pathway,REACT:R1430728,metabolism
REACT:R71291,metabolism of amino acids and derivatives,16,Pathway,REACT:R71291,metabolism of amino acids and derivatives
REACT:R2022377,metabolism of angiotensinogen to angiotensins,3,Pathway,REACT:R2022377,metabolism of angiotensinogen to angiotensins
REACT:R71387,metabolism of carbohydrates,15,Pathway,REACT:R71387,metabolism of carbohydrates
REACT:R6806667,metabolism of fat-soluble vitamins,12,Pathway,REACT:R6806667,metabolism of fat-soluble vitamins
REACT:R2408508,"metabolism of ingested semet, sec, mesec into h2se",3,Pathway,REACT:R2408508,"metabolism of ingested semet, sec, mesec into h2se"
REACT:R556833,metabolism of lipids and lipoproteins,27,Pathway,REACT:R556833,metabolism of lipids and lipoproteins
REACT:R202131,metabolism of nitric oxide,9,Pathway,REACT:R202131,metabolism of nitric oxide
