Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E004815849,EX:G11411979,arsenic,C2orf68,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408854,arsenic,C2orf69,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11406961,arsenic,C2orf76,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11411975,arsenic,C2orf78,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404974,arsenic,C2orf88,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11407963,arsenic,C3orf22,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410091,arsenic,C3orf33,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11410107,arsenic,C3orf70,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389682,arsenic,C5,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11412038,arsenic,C5orf46,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11407078,arsenic,C5orf47,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11420510,arsenic,C5orf52,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408410,arsenic,C6orf118,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11415902,arsenic,C6orf132,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11409062,arsenic,C6orf136,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11400223,arsenic,C6orf15,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11411143,arsenic,C6orf52,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11411231,arsenic,C6orf58,increases^methylation,Exposure,Gene,ctd^21291286,1
EX:E004815849,EX:G11404562,arsenic,C6orf62,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11389685,arsenic,C7,affects^expression,Exposure,Gene,ctd^28793237,1
EX:E004815849,EX:G11405000,arsenic,C7orf50,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11389690,arsenic,C9,affects^expression,Exposure,Gene,ctd^28793237,1
EX:E004815849,EX:G11413095,arsenic,C9orf152,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389716,arsenic,CA12,affects^methylation,Exposure,Gene,ctd^32603190,1
EX:E004815849,EX:G11411568,arsenic,CA13,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11397908,arsenic,CA5B,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389711,arsenic,CA6,affects^expression,Exposure,Gene,ctd^18414638,1
EX:E004815849,EX:G11389712,arsenic,CA7,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11404617,arsenic,CABLES2,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11408357,arsenic,CABP7,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11399060,arsenic,CABYR,increases^expression,Exposure,Gene,ctd^36861143,1
EX:E004815849,EX:G11389719,arsenic,CACNA1C,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11396010,arsenic,CACNA1G,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11396009,arsenic,CACNA1H,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11405897,arsenic,CACNA2D4,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389729,arsenic,CACNB4,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11399382,arsenic,CACNG5,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11402992,arsenic,CACNG8,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11399390,arsenic,CACYBP,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11415371,arsenic,CACYBPP2,increases^abundance|increases^expression,Exposure,Gene,ctd^32525701,1
EX:E004815849,EX:G11398674,arsenic,CADM1,increases^response to substance,Exposure,Gene,ctd^17976673,1
EX:E004815849,EX:G11402920,arsenic,CADM3,affects^methylation,Exposure,Gene,ctd^25304211,1
EX:E004815849,EX:G11389735,arsenic,CALB2,decreases^expression|increases^abundance,Exposure,Gene,ctd^32525701,1
